x,fidesz_y,tisza_y
9.700000000000000000e+01,1.497274656357448774e-02,3.682701403033233206e-02
9.800000000000000000e+01,1.295175956658917507e-02,3.813878154605241516e-02
9.900000000000000000e+01,1.109208346794555468e-02,3.910426939754559073e-02
1.000000000000000000e+02,9.404907737688695396e-03,3.969525474770117801e-02
1.010000000000000000e+02,7.895015830089415626e-03,3.989422804014326751e-02
1.020000000000000000e+02,6.561581477467659518e-03,3.969525474770117801e-02
1.030000000000000000e+02,5.399096651318806110e-03,3.910426939754559073e-02
1.040000000000000000e+02,4.398359598042719636e-03,3.813878154605241516e-02
1.050000000000000000e+02,3.547459284623142532e-03,3.682701403033233206e-02
1.060000000000000000e+02,2.832703774160119040e-03,3.520653267642995243e-02
1.070000000000000000e+02,2.239453029484289766e-03,3.332246028917996983e-02
1.080000000000000000e+02,1.752830049356854034e-03,3.122539333667612854e-02
1.090000000000000000e+02,1.358296923368561455e-03,2.896915527614827429e-02
1.100000000000000000e+02,1.042093481442259119e-03,2.660852498987548165e-02
1.110000000000000000e+02,7.915451582979968334e-04,2.419707245191433584e-02
1.120000000000000000e+02,5.952532419775853362e-04,2.178521770325505397e-02
1.130000000000000000e+02,4.431848411938007636e-04,1.941860549832129940e-02
1.140000000000000000e+02,3.266819056199918650e-04,1.713685920478073485e-02
1.150000000000000000e+02,2.384088201464840497e-04,1.497274656357448774e-02
1.160000000000000000e+02,1.722568939053681282e-04,1.295175956658917507e-02
1.170000000000000000e+02,1.232219168473019824e-04,1.109208346794555468e-02
1.180000000000000000e+02,8.726826950457600997e-05,9.404907737688695396e-03
1.190000000000000000e+02,6.119019301137718721e-05,7.895015830089415626e-03
1.200000000000000000e+02,4.247802705507514211e-05,6.561581477467659518e-03
1.210000000000000000e+02,2.919469257914602642e-05,5.399096651318806110e-03
1.220000000000000000e+02,1.986554713927727179e-05,4.398359598042719636e-03
1.230000000000000000e+02,1.338302257648853744e-05,3.547459284623142532e-03
1.240000000000000000e+02,8.926165717713293457e-06,2.832703774160119040e-03
1.250000000000000000e+02,5.894306775653985832e-06,2.239453029484289766e-03
1.260000000000000000e+02,3.853519674208712770e-06,1.752830049356854034e-03
1.270000000000000000e+02,2.494247129005353618e-06,1.358296923368561455e-03
1.280000000000000000e+02,1.598374110690547758e-06,1.042093481442259119e-03
1.290000000000000000e+02,1.014085206548676044e-06,7.915451582979968334e-04
1.300000000000000000e+02,6.369825178867090312e-07,5.952532419775853362e-04
1.310000000000000000e+02,3.961299091032075516e-07,4.431848411938007636e-04
1.320000000000000000e+02,2.438960745893351964e-07,3.266819056199918650e-04
1.330000000000000000e+02,1.486719514734297996e-07,2.384088201464840497e-04
1.340000000000000000e+02,8.972435162383337915e-08,1.722568939053681282e-04
1.350000000000000000e+02,5.361035344697614793e-08,1.232219168473019824e-04
1.360000000000000000e+02,3.171349216715976060e-08,8.726826950457600997e-05
1.370000000000000000e+02,1.857361844555289808e-08,6.119019301137718721e-05
1.380000000000000000e+02,1.076976004254327641e-08,4.247802705507514211e-05
1.390000000000000000e+02,6.182620500165857624e-09,2.919469257914602642e-05
1.400000000000000000e+02,3.513955094820433875e-09,1.986554713927727179e-05
1.410000000000000000e+02,1.977319640624467597e-09,1.338302257648853744e-05
1.420000000000000000e+02,1.101576362468230798e-09,8.926165717713293457e-06
1.430000000000000000e+02,6.075882849823286087e-10,5.894306775653985832e-06
